Branch_Code,Branch,Profile_Code,Profile,Collection_Code,Collection,Number_of_Loan_Transactions,ObjectId
BH,Blackburn Hamlet,ADULT,Adult,TEENFNF,Teen French Non-Fiction,3,1
BH,Blackburn Hamlet,J,Juvenile,AEF,Adult English Fiction,109,2
BH,Blackburn Hamlet,J,Juvenile,AEM,Adult English Mystery,14,3
BH,Blackburn Hamlet,J,Juvenile,AENF,Adult English Non-Fiction,206,4
BH,Blackburn Hamlet,J,Juvenile,AFF,Adult French Fiction,10,5
BH,Blackburn Hamlet,J,Juvenile,AFNF,Adult French Fiction,48,6
BH,Blackburn Hamlet,J,Juvenile,JEF,Juvenile Fiction,782,7
BH,Blackburn Hamlet,J,Juvenile,JENF,Juvenile Non-Fiction,852,8
BH,Blackburn Hamlet,J,Juvenile,TEENEF,Teen English Fiction,218,9
BH,Blackburn Hamlet,J,Juvenile,TEENENF,Teen English Non-Fiction,7,10
BH,Blackburn Hamlet,J,Juvenile,TEENFF,Teen French Fiction,14,11
BH,Blackburn Hamlet,YA_17,Young Adult,AEF,Adult English Fiction,1,12
BH,Blackburn Hamlet,YA_17,Young Adult,AEM,Adult English Mystery,1,13
BH,Blackburn Hamlet,YA_17,Young Adult,AENF,Adult English Non-Fiction,4,14
BH,Blackburn Hamlet,YA_17,Young Adult,AFF,Adult French Fiction,7,15
BH,Blackburn Hamlet,YA_17,Young Adult,AFNF,Adult French Fiction,4,16
CA,Carlingwood,ADULT,Adult,AECD,Adult English Books On CD,1694,17
CA,Carlingwood,ADULT,Adult,AEF,Adult English Fiction,24230,18
CA,Carlingwood,ADULT,Adult,AEM,Adult English Mystery,15035,19
CA,Carlingwood,ADULT,Adult,AENF,Adult English Non-Fiction,47831,20
CA,Carlingwood,ADULT,Adult,AFCD,Adult French Books On CD,26,21
CA,Carlingwood,ADULT,Adult,AFF,Adult French Fiction,1641,22
CA,Carlingwood,ADULT,Adult,AFNF,Adult French Fiction,1510,23
CA,Carlingwood,ADULT,Adult,JEF,Juvenile Fiction,9739,24
CA,Carlingwood,ADULT,Adult,JENF,Juvenile Non-Fiction,10835,25
CA,Carlingwood,ADULT,Adult,JFCD,Juvenile French Books On CD,9,26
CA,Carlingwood,ADULT,Adult,KIOSK,Kiosk Items,1,27
CA,Carlingwood,ADULT,Adult,TEENEBCD,Teen English Books On CD,31,28
CA,Carlingwood,ADULT,Adult,TEENEF,Teen English Fiction,2299,29
CA,Carlingwood,ADULT,Adult,TEENENF,Teen English Non-Fiction,370,30
CA,Carlingwood,ADULT,Adult,TEENFF,Teen French Fiction,80,31
CA,Carlingwood,ADULT,Adult,TEENFNF,Teen French Non-Fiction,1,32
CA,Carlingwood,J,Juvenile,AECD,Adult English Books On CD,7,33
CA,Carlingwood,J,Juvenile,AEF,Adult English Fiction,319,34
CA,Carlingwood,J,Juvenile,AEM,Adult English Mystery,72,35
CA,Carlingwood,J,Juvenile,AENF,Adult English Non-Fiction,775,36
CA,Carlingwood,J,Juvenile,AFF,Adult French Fiction,24,37
CA,Carlingwood,J,Juvenile,AFNF,Adult French Fiction,61,38
CA,Carlingwood,J,Juvenile,JEF,Juvenile Fiction,3127,39
CA,Carlingwood,J,Juvenile,JENF,Juvenile Non-Fiction,3652,40
CA,Carlingwood,J,Juvenile,JFCD,Juvenile French Books On CD,2,41
CA,Carlingwood,J,Juvenile,TEENEBCD,Teen English Books On CD,9,42
CA,Carlingwood,J,Juvenile,TEENEF,Teen English Fiction,821,43
CA,Carlingwood,J,Juvenile,TEENENF,Teen English Non-Fiction,66,44
CA,Carlingwood,J,Juvenile,TEENFF,Teen French Fiction,30,45
CA,Carlingwood,YA_17,Young Adult,AECD,Adult English Books On CD,1,46
CA,Carlingwood,YA_17,Young Adult,AEF,Adult English Fiction,75,47
CA,Carlingwood,YA_17,Young Adult,AEM,Adult English Mystery,15,48
CA,Carlingwood,YA_17,Young Adult,AENF,Adult English Non-Fiction,101,49
CA,Carlingwood,YA_17,Young Adult,AFF,Adult French Fiction,2,50
EA,Elmvale Acres,J,Juvenile,TEENENF,Teen English Non-Fiction,13,51
EA,Elmvale Acres,J,Juvenile,TEENFF,Teen French Fiction,10,52
EA,Elmvale Acres,YA_17,Young Adult,AEF,Adult English Fiction,8,53
EA,Elmvale Acres,YA_17,Young Adult,AEM,Adult English Mystery,1,54
EA,Elmvale Acres,YA_17,Young Adult,AENF,Adult English Non-Fiction,8,55
EA,Elmvale Acres,YA_17,Young Adult,AFF,Adult French Fiction,5,56
EA,Elmvale Acres,YA_17,Young Adult,AFNF,Adult French Fiction,1,57
EA,Elmvale Acres,YA_17,Young Adult,JEF,Juvenile Fiction,2,58
EA,Elmvale Acres,YA_17,Young Adult,TEENEF,Teen English Fiction,3,59
EA,Elmvale Acres,YA_17,Young Adult,TEENENF,Teen English Non-Fiction,1,60
EA,Elmvale Acres,YA_17,Young Adult,TEENFF,Teen French Fiction,4,61
EP,Emerald Plaza,ADULT,Adult,AECD,Adult English Books On CD,1522,62
EP,Emerald Plaza,ADULT,Adult,AEF,Adult English Fiction,15539,63
EP,Emerald Plaza,ADULT,Adult,AEM,Adult English Mystery,8012,64
EP,Emerald Plaza,ADULT,Adult,AENF,Adult English Non-Fiction,25239,65
EP,Emerald Plaza,ADULT,Adult,AFCD,Adult French Books On CD,43,66
EP,Emerald Plaza,ADULT,Adult,AFF,Adult French Fiction,641,67
EP,Emerald Plaza,ADULT,Adult,AFNF,Adult French Fiction,780,68
EP,Emerald Plaza,ADULT,Adult,JEF,Juvenile Fiction,4493,69
EP,Emerald Plaza,ADULT,Adult,JENF,Juvenile Non-Fiction,6478,70
EP,Emerald Plaza,ADULT,Adult,JFCD,Juvenile French Books On CD,10,71
EP,Emerald Plaza,ADULT,Adult,KIOSK,Kiosk Items,2,72
EP,Emerald Plaza,ADULT,Adult,TEENEBCD,Teen English Books On CD,21,73
EP,Emerald Plaza,ADULT,Adult,TEENEF,Teen English Fiction,1377,74
EP,Emerald Plaza,ADULT,Adult,TEENENF,Teen English Non-Fiction,160,75
EP,Emerald Plaza,ADULT,Adult,TEENFBCD,Teen French Books On CD,1,76
EP,Emerald Plaza,ADULT,Adult,TEENFF,Teen French Fiction,49,77
EP,Emerald Plaza,ADULT,Adult,TEENFNF,Teen French Non-Fiction,1,78
EP,Emerald Plaza,J,Juvenile,AECD,Adult English Books On CD,19,79
EP,Emerald Plaza,J,Juvenile,AEF,Adult English Fiction,192,80
EP,Emerald Plaza,J,Juvenile,AEM,Adult English Mystery,38,81
EP,Emerald Plaza,J,Juvenile,AENF,Adult English Non-Fiction,615,82
EP,Emerald Plaza,J,Juvenile,AFF,Adult French Fiction,7,83
EP,Emerald Plaza,J,Juvenile,AFNF,Adult French Fiction,15,84
EP,Emerald Plaza,J,Juvenile,JEF,Juvenile Fiction,1748,85
EP,Emerald Plaza,J,Juvenile,JENF,Juvenile Non-Fiction,1659,86
EP,Emerald Plaza,J,Juvenile,JFCD,Juvenile French Books On CD,10,87
EP,Emerald Plaza,J,Juvenile,TEENEBCD,Teen English Books On CD,1,88
EP,Emerald Plaza,J,Juvenile,TEENEF,Teen English Fiction,401,89
EP,Emerald Plaza,J,Juvenile,TEENENF,Teen English Non-Fiction,40,90
EP,Emerald Plaza,J,Juvenile,TEENFF,Teen French Fiction,10,91
EP,Emerald Plaza,YA_17,Young Adult,AEF,Adult English Fiction,34,92
EP,Emerald Plaza,YA_17,Young Adult,AEM,Adult English Mystery,10,93
EP,Emerald Plaza,YA_17,Young Adult,AENF,Adult English Non-Fiction,47,94
EP,Emerald Plaza,YA_17,Young Adult,AFNF,Adult French Fiction,1,95
EP,Emerald Plaza,YA_17,Young Adult,JEF,Juvenile Fiction,5,96
EP,Emerald Plaza,YA_17,Young Adult,JENF,Juvenile Non-Fiction,3,97
EP,Emerald Plaza,YA_17,Young Adult,TEENEF,Teen English Fiction,19,98
EP,Emerald Plaza,YA_17,Young Adult,TEENFF,Teen French Fiction,1,99
