FID,OBJECTID_1,OBJECTID,NAMESE2016,NAMESF2016,POPEST2016,Branch,Shape__Area,Shape__Length
1,94,100,Edwards - Carlsbad Springs,Edwards - Carlsbad Springs,3461.37468322,Greely,477708705.84375,143039.843232234
2,66,69,Blackburn Hamlet,Blackburn Hamlet,8171.80596205,Blackburn Hamlet,6000006.61328125,12889.5887063036
3,3,3,Beaverbrook,Beaverbrook,6715.25408328,Beaverbrook,49096069.2382813,36948.0603307291
4,75,78,Beechwood Cemetery,Beechwood Cemetery,138.931128097,Not Assigned,337953972.703125,257381.919494743
5,9,9,Braemar Park - Bel Air Heights - Copeland Park,Braemar Park - Bel Air Heights - Copeland Park,6727.34506188,Nepean Centrepointe,39028888.0703125,33377.590488298
6,86,92,Munster - Ashton,Munster - Ashton,3704.84243132,Munster,274060249.308594,66217.6566059558
7,1,1,Old Barrhaven West,Old Barrhaven West,16880.4871431,Ruth E. Dickinson,69084086.515625,43468.7097096445
8,7,7,Hunt Club Upper -Blossom Park - Timbermill,Hunt Club Upper -Blossom Park - Timbermill,8614.00998071,Greenboro,84576788.421875,66226.6873225888
9,52,53,Vanier North,Vanier North,9634.34927534,Vanier,3459438.1171875,11294.4040831903
10,92,98,Osgoode - Vernon,Osgoode - Vernon,5111.71775217,Osgoode / Vernon,273255006.765625,85022.5567699524
11,23,23,Glebe - Dows Lake,Glebe - Dows Lake,12192.5029643,Sunnyside,13790480.109375,35431.193585122
12,68,71,Riverside South - Leitrim,Riverside South - Leitrim,10942.3128658,Manotick,167429253.882813,148032.005436608
13,82,86,Richmond,Richmond,7668.88229091,Richmond,340263076.5625,87558.9689019316
14,34,34,Lowertown,Lowertown,5916.96235152,Rideau,8536705.35546875,16113.2831359078
15,39,39,Queenswood Heights,Queenswood Heights,12827.8804152,Cumberland,556665489.328125,177092.28800449
16,25,25,Hawthorne Meadows - Sheffield Glen,Hawthorne Meadows - Sheffield Glen,6673.64752314,Elmvale Acres,36907378.2109375,38733.5592657642
17,33,33,Lindenlea - New Edinburgh,Lindenlea - New Edinburgh,4779.24725405,Rockcliffe Park,8021010.58984375,13530.5861159585
18,8,8,Borden Farm - Fisher Glen,Borden Farm - Fisher Glen,6960.2967785,Emerald Plaza,46829098.8554688,51118.9755710314
19,13,13,Laurentian,Laurentian,9654.43025605,Carlingwood,31990471.8320313,36129.4925317289
20,15,15,Carson Grove - Carson Meadows,Carson Grove - Carson Meadows,10694.4549744,St-Laurent,36026837.7695313,30028.6165641502
21,18,18,Chapel Hill North,Chapel Hill North,10798.1563977,Orléans,48094727.0507813,36473.3975345338
22,17,17,Centretown,Centretown,24993.9575587,Main,12186304.0664063,24903.1876136581
23,20,20,Civic Hospital-Central Park,Civic Hospital-Central Park,10979.676681,Rosemount,24010778.9414063,42024.8343832294
24,83,87,Fitzroy,Fitzroy,3299.06351854,Constance Bay / Fitzroy Harbour,562122034.804688,238609.670500741
25,6,6,Billings Bridge - Alta Vista,Billings Bridge - Alta Vista,12652.8045264,Alta Vista,42806730.2421875,48485.6287986142
26,87,93,Marlborough,Marlborough,1812.04499167,North Gower,783699920.96875,171208.29141079
27,88,94,Corkery,Corkery,3472.75476571,Carp,900770017.53125,162496.314148547
28,93,99,Metcalfe,Metcalfe,5240.26536138,Metcalfe,281986149.523438,82437.2359065123
29,31,31,Katimavik - Hazeldean,Katimavik - Hazeldean,11799.8135804,Hazeldean,33463692.0898438,29005.0710709212
30,4,4,Bells Corners East,Bells Corners East,4728.59507087,Centennial,20728715.1445313,39822.6227895722
31,2,2,Beacon Hill South - Cardinal Heights,Beacon Hill South - Cardinal Heights,7194.87688538,North Gloucester,20310900.5351563,25499.8561521847
32,80,84,Stittsville,Stittsville,26674.0291534,Stittsville,60582781.5546875,42737.2731842966
