year,theme,qid_key,qid,qheader,qsub,socio_group,group_,response,num,denom,percent_,Quality,ObjectId
2021,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Education,University certificate,No,16300,17000,95.9,Good,1
2018,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Education,University certificate,No,10800,13300,81.2,Good,2
2018,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Racial identity,Racialized,No,20900,25700,81.3,Good,3
2021,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Racial identity,Racialized,No,39800,43200,92.1,Good,4
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Sexual orientation,LGBTQ2S+,No,38000,38000,100,Good,5
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Sexual orientation,LGBTQ2S+,No,22700,23500,96.6,Good,6
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Sex,Female,No,521100,532300,97.9,Good,7
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Sex,Female,No,539700,549900,98.1,Good,8
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Sexual orientation,Heterosexual,No,963500,983600,98,Good,9
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Sexual orientation,Heterosexual,No,396900,402100,98.7,Good,10
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Education,High school diploma or a equivalency certificate,No,184800,187600,98.5,Good,11
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Education,High school diploma or a equivalency certificate,No,204000,207800,98.2,Good,12
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Education,Less than high school diploma or its equivalent,No,79500,84200,94.4,Good,13
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Education,Less than high school diploma or its equivalent,No,84000,87600,95.9,Good,14
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Sex,Male,No,514900,524000,98.3,Good,15
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Sex,Male,No,536100,543600,98.6,Good,16
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Racial identity,Non-racialized,No,753600,761100,99,Good,17
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Racial identity,Non-racialized,No,759500,765000,99.3,Good,18
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Overall,Total,No,1075900,1093500,98.4,Good,19
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,,Total,No,1036800,1057400,98.1,Good,20
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",No,198900,199600,99.6,Good,21
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",No,196300,200400,98,Good,22
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Education,University certificate,No,419000,423000,99.1,Good,23
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Education,University certificate,No,402100,405300,99.2,Good,24
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Racial identity,Racialized,No,272000,285000,95.4,Good,25
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Racial identity,Racialized,No,314800,327000,96.3,Good,26
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sexual orientation,LGBTQ2S+,Easy,5600,19800,28.3,Acceptable,27
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sexual orientation,LGBTQ2S+,Very easy,3000,19800,15.2,Acceptable,28
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sexual orientation,LGBTQ2S+,Very difficult,,19800,,Suppressed,29
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sexual orientation,LGBTQ2S+,Difficult,3900,19800,19.7,Acceptable,30
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sexual orientation,LGBTQ2S+,Easy,6200,23500,26.4,Use with caution,31
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sexual orientation,LGBTQ2S+,Very easy,4000,23500,17,Use with caution,32
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sexual orientation,LGBTQ2S+,Difficult,2500,23500,10.6,Use with caution,33
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sexual orientation,LGBTQ2S+,Very difficult,2500,23500,10.6,Use with caution,34
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sexual orientation,LGBTQ2S+,Neither difficult nor easy,8300,23500,35.3,Acceptable,35
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,Less than high school diploma or its equivalent,Very difficult,4400,84100,5.2,Acceptable,36
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,Less than high school diploma or its equivalent,Very difficult,7400,87500,8.5,Acceptable,37
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Very difficult,7600,199500,3.8,Acceptable,38
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Sexual orientation,LGBTQ2S+,"Yes, sometimes",2300,19800,11.6,Acceptable,39
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Sexual orientation,LGBTQ2S+,"Yes, often",,19800,,Suppressed,40
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Education,High school diploma or a equivalency certificate,"Yes, often",4500,187600,2.4,Acceptable,41
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Education,Less than high school diploma or its equivalent,"Yes, often",2500,84100,3,Acceptable,42
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Education,Less than high school diploma or its equivalent,"Yes, sometimes",7300,84100,8.7,Acceptable,43
